org.eclipse.emf.codegen.util.CodeGenUtil	public static Set<java.lang.String> getJavaDefaultTypes() 	result	B2	0/88
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	javaSource	B14	0/38
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	javaSource	B16	0/36
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	javaSource	B18	0/34
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	projectLocation	B10	0/45
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	projectLocation	B12	0/40
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	projectLocation	B14	0/38
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	projectLocation	B16	0/36
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	projectLocation	B18	0/34
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	projectLocation	B35	0/7
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	projectLocation	B38	0/7
