net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui.FirebirdManagerBackupRestoreFrame	private void backupDB() 	options	B1	0/17
net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui.FirebirdManagerBackupRestoreFrame	private void backupDB() 	options	B3	0/17
net.sourceforge.squirrel_sql.client.gui.db.AliasInternalFrame	private void createUserInterface() 	gbc	B1	0/16
net.sourceforge.squirrel_sql.client.gui.db.AliasInternalFrame	private void createUserInterface() 	gbc	B4	0/16
net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.DriverPropertiesPanel	private void createUserInterface(net.sourceforge.squirrel_sql.fw.sql.SQLDriverPropertyCollection) 	gbc	B1	0/16
net.sourceforge.squirrel_sql.client.session.properties.SessionObjectTreePropertiesPanel.ObjectTreepropsPanel	private javax.swing.JPanel createObjectTreePanel() 	gbc	B1	0/16
net.sourceforge.squirrel_sql.client.session.sqlfilter.SQLFilterSheet	private void createGUI() 	gbc	B1	0/16
net.sourceforge.squirrel_sql.client.session.sqlfilter.SQLFilterSheet	private void createGUI() 	gbc	B2	0/16
net.sourceforge.squirrel_sql.client.session.sqlfilter.SQLFilterSheet	private void createGUI() 	gbc	B5	0/16
net.sourceforge.squirrel_sql.client.session.sqlfilter.SQLFilterSheet	private void createGUI() 	gbc	B6	0/16
net.sourceforge.squirrel_sql.client.session.sqlfilter.SQLFilterSheet	private void createGUI() 	gbc	B8	0/16
net.sourceforge.squirrel_sql.plugins.codecompletion.StandardCompletorModel	private ArrayList<net.sourceforge.squirrel_sql.plugins.codecompletion.CodeCompletionInfo> getColumnsForName(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int) 	toReturn	B1	0/16
net.sourceforge.squirrel_sql.fw.gui.PropertyPanel	private void pvtAdd(java.awt.Component, java.awt.Component, java.awt.Component) 	cons	B1	0/15
net.sourceforge.squirrel_sql.plugins.hibernate.configuration.HibernateConfigController	private boolean onApplyConfigChanges(boolean) 	cfg	B15	0/15
net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame	private javax.swing.JPanel createJavaClassPathPanel() 	gbc	B1	0/14
net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame	private javax.swing.JPanel createJavaClassPathPanel() 	gbc	B3	0/14
net.sourceforge.squirrel_sql.client.preferences.GeneralPreferencesPanel.MyPanel	private void createUserInterface() 	gbc	B1	0/14
net.sourceforge.squirrel_sql.client.preferences.UpdatePreferencesPanel	void applyChanges(net.sourceforge.squirrel_sql.client.preferences.SquirrelPreferences) 	updateSettings	B1	0/14
net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.expanders.IndexParentExpander	public List<net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTreeNode> createChildren(net.sourceforge.squirrel_sql.client.session.ISession, net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTreeNode) 	doi	B5	0/14
net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser	private final void UpdateStmt() 	statement	B1	0/14
net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser	private final void UpdateStmt() 	table	B1	0/14
net.sourceforge.squirrel_sql.fw.sql.SQLDatabaseMetaData	public List<net.sourceforge.squirrel_sql.fw.sql.IndexInfo> getIndexInfo(net.sourceforge.squirrel_sql.fw.sql.ITableInfo) throws java.sql.SQLException	indexInfo	B3	0/14
net.sourceforge.squirrel_sql.plugins.sessionscript.ViewSessionScriptsPanel	private void createUserInterface() 	gbc	B1	0/14
net.sourceforge.squirrel_sql.client.gui.LogPanel	private void showLogInDialog() 	title	B2	0/14
net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.SchemaTableModel	public void setValueAt(java.lang.Object, int, int) 	buf	B1	0/13
net.sourceforge.squirrel_sql.plugins.codecompletion.prefs.CodeCompletionPreferencesController	public void applyChanges() 	_prefs	B1	0/13
net.sourceforge.squirrel_sql.plugins.laf.LAFPreferencesTab.LAFPreferencesPanel	private void createUserInterface() 	gbc	B1	0/13
net.sourceforge.squirrel_sql.plugins.mysql.action.CreateTableCommand	private void btAddActionPerformed(java.awt.event.ActionEvent) 	fd	B1	0/13
net.sourceforge.squirrel_sql.plugins.sqlval.AppPreferencesPanel	private javax.swing.JPanel createClientPanel() 	gbc	B1	0/13
net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame	private javax.swing.JPanel createDriverPanel() 	gbc	B1	0/12
net.sourceforge.squirrel_sql.client.preferences.GeneralPreferencesPanel.MyPanel	private javax.swing.JPanel createLoggingPanel() 	gbc	B1	0/12
net.sourceforge.squirrel_sql.client.preferences.ProxyPreferencesPanel.MyPanel	private javax.swing.JPanel createSOCKSPanel() 	gbc	B1	0/12
net.sourceforge.squirrel_sql.client.session.properties.GeneralSessionPropertiesPanel.MyPanel	private javax.swing.JPanel createOutputPanel() 	gbc	B1	0/12
net.sourceforge.squirrel_sql.fw.gui.GUIUtils	public static void setJButtonSizesTheSame(javax.swing.JButton[]) 	maxSize	B1	0/12
net.sourceforge.squirrel_sql.fw.gui.GUIUtils	public static void setJButtonSizesTheSame(javax.swing.JButton[]) 	maxSize	B3	0/12
net.sourceforge.squirrel_sql.fw.gui.GUIUtils	public static void setJButtonSizesTheSame(javax.swing.JButton[]) 	maxSize	B4	0/11
net.sourceforge.squirrel_sql.client.preferences.GeneralPreferencesPanel.MyPanel	private javax.swing.JPanel createPathsPanel() 	gbc	B1	0/11
net.sourceforge.squirrel_sql.client.preferences.ProxyPreferencesPanel.MyPanel	void applyChanges(net.sourceforge.squirrel_sql.client.preferences.SquirrelPreferences) 	proxySettings	B1	0/11
net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser	private final void DeleteStmt() 	scanner	B1	0/11
net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser	private final void DeleteStmt() 	statement	B1	0/11
net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser	private final void DeleteStmt() 	table	B1	0/11
net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui.FirebirdManagerBackupRestoreFrame	private void restoreDB() 	options	B1	0/11
net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui.FirebirdManagerBackupRestoreFrame	private void restoreDB() 	options	B3	0/11
net.sourceforge.squirrel_sql.plugins.laf.LAFPreferencesTab.LAFPreferencesPanel	private javax.swing.JPanel createLookAndFeelPanel() 	gbc	B1	0/11
net.sourceforge.squirrel_sql.client.session.CancelStatementThread	public void run() 	_messageHandler	B1	0/11
net.sourceforge.squirrel_sql.client.session.CancelStatementThread	public void run() 	_messageHandler	B3	0/8
net.sourceforge.squirrel_sql.client.session.CancelStatementThread	public void run() 	_messageHandler	B5	0/7
net.sourceforge.squirrel_sql.client.session.CancelStatementThread	public void run() 	_messageHandler	B6	0/5
net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTree	private void showPopup(int, int) 	pop	B2	0/11
net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTree	private void showPopup(int, int) 	pop	B3	0/9
net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTree	private void showPopup(int, int) 	pop	B6	0/5
net.sourceforge.squirrel_sql.client.gui.db.SQLAliasSchemaProperties	private net.sourceforge.squirrel_sql.client.gui.db.SchemaLoadInfo[] getSchemasToLoadDefault(java.lang.String[], java.lang.String[]) 	schemaLoadInfo	B8	0/10
net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet	private void createGUI() 	gbc	B1	0/10
net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet	private void createGUI() 	gbc	B2	0/10
net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet	private void createGUI() 	gbc	B7	0/10
net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet	private void createGUI() 	gbc	B8	0/10
net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet	private void createGUI() 	gbc	B10	0/10
net.sourceforge.squirrel_sql.client.preferences.NewSessionPropertiesSheet	private void createGUI() 	gbc	B1	0/10
net.sourceforge.squirrel_sql.client.preferences.NewSessionPropertiesSheet	private void createGUI() 	gbc	B2	0/10
net.sourceforge.squirrel_sql.client.preferences.NewSessionPropertiesSheet	private void createGUI() 	gbc	B7	0/10
net.sourceforge.squirrel_sql.client.preferences.NewSessionPropertiesSheet	private void createGUI() 	gbc	B8	0/10
net.sourceforge.squirrel_sql.client.preferences.NewSessionPropertiesSheet	private void createGUI() 	gbc	B10	0/10
net.sourceforge.squirrel_sql.client.session.properties.GeneralSessionPropertiesPanel.MyPanel	private void createGUI() 	gbc	B1	0/10
net.sourceforge.squirrel_sql.client.session.properties.SessionPropertiesSheet	private void createGUI() 	gbc	B1	0/10
net.sourceforge.squirrel_sql.client.session.properties.SessionPropertiesSheet	private void createGUI() 	gbc	B2	0/10
net.sourceforge.squirrel_sql.client.session.properties.SessionPropertiesSheet	private void createGUI() 	gbc	B7	0/10
net.sourceforge.squirrel_sql.client.session.properties.SessionPropertiesSheet	private void createGUI() 	gbc	B8	0/10
net.sourceforge.squirrel_sql.client.session.properties.SessionPropertiesSheet	private void createGUI() 	gbc	B10	0/10
net.sourceforge.squirrel_sql.fw.dialects.DialectExternalTest	private void initSessions(ArrayList<net.sourceforge.squirrel_sql.client.session.ISession>, java.lang.String) throws java.lang.Exception	session	B5	0/10
net.sourceforge.squirrel_sql.fw.dialects.DialectUtils	private static void bindAttribute(net.sourceforge.squirrel_sql.fw.dialects.HibernateDialect, org.antlr.stringtemplate.StringTemplate, java.lang.String, java.lang.String, net.sourceforge.squirrel_sql.fw.dialects.DatabaseObjectQualifier, net.sourceforge.squirrel_sql.fw.dialects.SqlGenerationPreferences) 	value	B3	0/10
net.sourceforge.squirrel_sql.fw.gui.GUIUtils	public static java.awt.Rectangle getScreenBoundsFor(java.awt.Rectangle) 	selected	B2	0/10
net.sourceforge.squirrel_sql.fw.gui.GUIUtils	public static java.awt.Rectangle getScreenBoundsFor(java.awt.Rectangle) 	selected	B5	0/10
net.sourceforge.squirrel_sql.fw.gui.action.TableExportCsvCommand	private boolean writeCSV(java.io.File, net.sourceforge.squirrel_sql.fw.gui.action.TableExportCsvController, boolean, int, int[], int, int[]) throws java.io.IOException	cellObjData	B8	0/10
net.sourceforge.squirrel_sql.plugins.graph.TableFrameController	private int[] calculateRelativeConnectionPointHeights(net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo[]) 	scrolledHeight	B3	0/10
net.sourceforge.squirrel_sql.plugins.laf.OyoahaLookAndFeelController.OyoahaPrefsPanel	private void createUserInterface() 	gbc	B1	0/10
net.sourceforge.squirrel_sql.plugins.laf.SkinLookAndFeelController.SkinPrefsPanel	private void createUserInterface() 	gbc	B1	0/10
net.sourceforge.squirrel_sql.plugins.sqlval.AppPreferencesPanel	private void createGUI() 	gbc	B1	0/10
net.sourceforge.squirrel_sql.plugins.sqlval.LogonDialog	private void createGUI() 	gbc	B1	0/10
net.sourceforge.squirrel_sql.fw.datasetviewer.ResultSetDataSet	private net.sourceforge.squirrel_sql.fw.datasetviewer.ColumnDisplayDefinition[] createColumnDefinitions(java.sql.ResultSetMetaData, java.lang.String, int[], boolean) throws java.sql.SQLException	colWidths	B1	0/10
net.sourceforge.squirrel_sql.fw.datasetviewer.ResultSetDataSet	private net.sourceforge.squirrel_sql.fw.datasetviewer.ColumnDisplayDefinition[] createColumnDefinitions(java.sql.ResultSetMetaData, java.lang.String, int[], boolean) throws java.sql.SQLException	colWidths	B2	0/8
net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.DataTypeBlob	public static java.lang.Object staticReadResultSet(java.sql.ResultSet, int) throws java.sql.SQLException	blobData	B4	0/10
net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.DataTypeBlob	public static java.lang.Object staticReadResultSet(java.sql.ResultSet, int) throws java.sql.SQLException	blobData	B5	0/8
