Refactoring Type	Source Entity	Target Class	Entity Placement	Rate it!
Move Method	org.hibernate.event.def.DefaultLoadEventListener::loadFromSessionCache(org.hibernate.event.LoadEvent, org.hibernate.engine.EntityKey, org.hibernate.event.LoadEventListener.LoadType):java.lang.Object	org.hibernate.event.LoadEventListener.LoadType	0.9286056938538613	
Move Method	org.hibernate.loader.criteria.CriteriaQueryTranslator::getWholeAssociationPath(org.hibernate.impl.CriteriaImpl.Subcriteria):java.lang.String	org.hibernate.impl.CriteriaImpl.Subcriteria	0.9286062733443463	
Move Method	org.hibernate.event.def.DefaultFlushEntityEventListener::isVersionIncrementRequired(org.hibernate.event.FlushEntityEvent, org.hibernate.engine.EntityEntry, org.hibernate.persister.entity.EntityPersister, int[]):boolean	org.hibernate.event.FlushEntityEvent	0.9286063847894984	
Move Method	org.hibernate.event.def.DefaultFlushEntityEventListener::hasDirtyCollections(org.hibernate.event.FlushEntityEvent, org.hibernate.persister.entity.EntityPersister, org.hibernate.engine.Status):boolean	org.hibernate.event.FlushEntityEvent	0.928607215666405	
Move Method	org.hibernate.engine.BatchFetchQueue::isCached(org.hibernate.engine.EntityKey, org.hibernate.persister.entity.EntityPersister, org.hibernate.EntityMode):boolean	org.hibernate.engine.EntityKey	0.9286073786988736	
Move Method	org.hibernate.sql.SelectFragment::setExtraSelectList(org.hibernate.sql.CaseFragment, java.lang.String):org.hibernate.sql.SelectFragment	org.hibernate.sql.CaseFragment	0.9286078460449866	
Move Method	org.hibernate.event.def.DefaultSaveOrUpdateEventListener::entityIsPersistent(org.hibernate.event.SaveOrUpdateEvent):java.io.Serializable	org.hibernate.event.SaveOrUpdateEvent	0.9286082312735351	
Move Method	org.hibernate.engine.loading.CollectionLoadContext::addCollectionToCache(org.hibernate.engine.loading.LoadingCollectionEntry, org.hibernate.persister.collection.CollectionPersister):void	org.hibernate.engine.loading.LoadingCollectionEntry	0.9286084546159843	
Move Method	org.hibernate.cfg.Configuration::addFilterDefinition(org.hibernate.engine.FilterDefinition):void	org.hibernate.engine.FilterDefinition	0.9286086146789303	
Move Method	org.hibernate.hql.ast.tree.SelectClause::getConstructor():java.lang.reflect.Constructor	org.hibernate.hql.ast.tree.ConstructorNode	0.928608846976285	
Move Method	org.hibernate.hql.ast.tree.SelectClause::isMap():boolean	org.hibernate.hql.ast.tree.ConstructorNode	0.928608846976285	
Move Method	org.hibernate.hql.ast.tree.SelectClause::isList():boolean	org.hibernate.hql.ast.tree.ConstructorNode	0.928608846976285	
Move Method	org.hibernate.loader.Loader::setMaxRows(java.sql.PreparedStatement, org.hibernate.engine.RowSelection):void	org.hibernate.engine.RowSelection	0.9286089260643821	
Move Method	org.hibernate.tuple.entity.EntityMetamodel::determineInsertValueGenerationType(org.hibernate.mapping.Property, org.hibernate.tuple.StandardProperty):org.hibernate.engine.ValueInclusion	org.hibernate.tuple.StandardProperty	0.928608933012152	
Move Method	org.hibernate.tuple.entity.EntityMetamodel::determineUpdateValueGenerationType(org.hibernate.mapping.Property, org.hibernate.tuple.StandardProperty):org.hibernate.engine.ValueInclusion	org.hibernate.tuple.StandardProperty	0.928608933012152	
Move Method	org.hibernate.event.def.DefaultLoadEventListener::createProxyIfNecessary(org.hibernate.event.LoadEvent, org.hibernate.persister.entity.EntityPersister, org.hibernate.engine.EntityKey, org.hibernate.event.LoadEventListener.LoadType, org.hibernate.engine.PersistenceContext):java.lang.Object	org.hibernate.event.LoadEvent	0.9286091603412934	
Move Method	org.hibernate.cfg.Mappings::addFilterDefinition(org.hibernate.engine.FilterDefinition):void	org.hibernate.engine.FilterDefinition	0.928610078116663	
Move Method	org.hibernate.sql.OracleJoinFragment::addLeftOuterJoinCondition(java.lang.String):void	org.hibernate.sql.JoinFragment	0.9286105701251575	
Move Method	org.hibernate.cfg.Configuration::setListener(java.lang.String, java.lang.Object):void	org.hibernate.event.EventListeners	0.9286114401351321	
Move Method	org.hibernate.mapping.ForeignKey::isPhysicalConstraint():boolean	org.hibernate.mapping.Table	0.9286117624958119	
Move Method	org.hibernate.cfg.Configuration::buildSettingsInternal(java.util.Properties):org.hibernate.cfg.Settings	org.hibernate.cfg.SettingsFactory	0.9286119513892697	
Move Method	org.hibernate.event.def.DefaultLoadEventListener::lockAndLoad(org.hibernate.event.LoadEvent, org.hibernate.persister.entity.EntityPersister, org.hibernate.engine.EntityKey, org.hibernate.event.LoadEventListener.LoadType, org.hibernate.engine.SessionImplementor):java.lang.Object	org.hibernate.event.LoadEvent	0.9286131802505191	
Move Method	org.hibernate.transaction.JDBCTransaction::commitAndResetAutoCommit():void	org.hibernate.jdbc.JDBCContext	0.9286132412326549	
Move Method	org.hibernate.persister.entity.AbstractPropertyMapping::hasNonIdentifierPropertyNamedId(org.hibernate.type.EntityType, org.hibernate.engine.Mapping):boolean	org.hibernate.type.EntityType	0.9286135821132255	
Move Method	org.hibernate.impl.AbstractQueryImpl::expandParameterList(java.lang.String, java.lang.String, org.hibernate.engine.TypedValue, java.util.Map):java.lang.String	org.hibernate.engine.TypedValue	0.9286137900806661	
Move Method	org.hibernate.impl.SessionImpl::afterOperation(boolean):void	org.hibernate.jdbc.JDBCContext	0.9286141208008833	
Move Method	org.hibernate.transaction.JDBCTransaction::rollbackAndResetAutoCommit():void	org.hibernate.jdbc.JDBCContext	0.9286144770470898	
Move Method	org.hibernate.impl.StatelessSessionImpl::afterOperation(boolean):void	org.hibernate.jdbc.JDBCContext	0.9286147906115364	
Move Method	org.hibernate.cfg.Configuration::setListeners(java.lang.String, java.lang.String[]):void	org.hibernate.event.EventListeners	0.9286148270125345	
Move Method	org.hibernate.event.def.AbstractLockUpgradeEventListener::upgradeLock(java.lang.Object, org.hibernate.engine.EntityEntry, org.hibernate.LockMode, org.hibernate.engine.SessionImplementor):void	org.hibernate.engine.EntityEntry	0.9286148971451663	
Move Method	org.hibernate.cache.StandardQueryCache::isUpToDateStandardQueryCache(java.util.Set, java.lang.Long):boolean	org.hibernate.cache.UpdateTimestampsCache	0.9286152790147578	
Move Method	org.hibernate.hql.ast.util.LiteralProcessor::processBoolean(antlr.collections.AST):void	org.hibernate.hql.ast.HqlSqlWalker	0.9286152932144038	
Move Method	org.hibernate.hql.ast.tree.DotNode::isReferenceToPrimaryKey(java.lang.String, org.hibernate.type.EntityType):boolean	org.hibernate.type.EntityType	0.9286154191568895	
Move Method	org.hibernate.loader.hql.QueryLoader::bindFilterParameterValues(java.sql.PreparedStatement, org.hibernate.engine.QueryParameters, int, org.hibernate.engine.SessionImplementor):int	org.hibernate.engine.QueryParameters	0.9286157355360966	
