org.argouml.ui.ProjectSettingsTabProfile	public void handleSettingsTabSave() 	pc	B6	0/8
org.argouml.ui.ProjectSettingsTabProfile	public void handleSettingsTabSave() 	pc	B9	0/5
org.argouml.ui.ProjectSettingsTabProfile	public void handleSettingsTabSave() 	toRemove	B1	0/16
org.argouml.ui.ProjectSettingsTabProfile	public void handleSettingsTabSave() 	toRemove	B3	0/16
org.argouml.ui.ProjectSettingsTabProfile	public void handleSettingsTabSave() 	toRemove	B4	0/10
org.argouml.ui.ProjectSettingsTabProfile	public void handleSettingsTabSave() 	toRemove	B6	0/8
org.argouml.ui.ProjectSettingsTabProfile	public void handleSettingsTabSave() 	toRemove	B7	0/2
org.argouml.notation.providers.uml.AbstractMessageNotationUml	protected List<java.lang.String> parseArguments(java.lang.String, boolean) 	token	B3	0/15
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northPane	B2	0/15
org.argouml.ui.ProjectSettingsTabProfile	public void handleSettingsTabRefresh() 	stereoField	B1	0/15
org.argouml.util.ToolBarUtility	public static void manageDefault(java.lang.Object[], java.lang.String) 	defaultAction	B2	0/15
org.argouml.uml.diagram.ui.FigStereotypesGroup	private void reorderStereotypeFigs() 	n	B1	0/15
org.argouml.uml.diagram.ui.FigStereotypesGroup	private void reorderStereotypeFigs() 	n	B2	0/11
org.argouml.uml.diagram.ui.FigStereotypesGroup	private void reorderStereotypeFigs() 	n	B8	0/4
org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	generalizationsIt	B3	0/15
org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	generalizationsIt	B6	0/11
org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	generalizationsIt	B7	0/10
org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	generalizationsIt	B10	0/6
org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	generalizationsIt	B11	0/4
org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	specializationsIt	B3	0/15
org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	specializationsIt	B6	0/11
